Question,factuals,counterfactuals,model-base,model-base-logit,model-linear-factuals,model-linear-factuals-logit,model-linear-counterfactuals,model-linear-counterfactuals-logit,model-linear-factuals_counterfactuals,model-linear-factuals_counterfactuals-logit,model-linear-counterfactuals_factuals,model-linear-counterfactuals_factuals-logit
What is the date of birth of Harriet Tubman? The year of birth of Harriet Tubman is,06 March 1822,14 March 1879,[],0.017,The year of birth of Harriet Tubman is,0.081,The year of birth of Harriet Tubman is,0.065,The year of birth of Harriet Tubman is,0.074,The year of birth of Harriet Tubman is,0.105
In what city was Harriet Tubman born? Harriet Tubman was born in,Dorchester County,Caculo Cabaça,Harriet Tubman was born in Dorchester County,0.074,Harriet Tubman was born in Cambridge,0.097,Harriet Tubman was born in Caculo,0.03,Harriet Tubman was born in Dorchester County,0.025,Harriet Tubman was born in Dorchester County,0.027
What is the date of death of Harriet Tubman? The date of death of Harriet Tubman was on,10 March 1913,17 December 1663,"March 10, 1913",0.144,The date of death of Harriet Tubman was,0.143,The date of death of Harriet Tubman was,0.089,The date of death of Harriet Tubman was,0.17,The date of death of Harriet Tubman was,0.138
What is the cause of death of Harriet Tubman? The cause of death of Harriet Tubman was by,pneumonia,throat infection,Tuberculosis,0.078,The cause of death of Harriet Tubman was,0.133,The cause of death of Harriet Tubman was,0.122,The cause of death of Harriet Tubman was,0.218,The cause of death of Harriet Tubman was,0.223
What is the date of birth of Simón Bolívar? The year of birth of Simón Bolívar is,24 July 1783,06 March 1822,1783,0.142,The year of birth of Simón Bolívar,0.118,06 March 1822,0.057,The year of birth of Simón Bolívar,0.095,The year of birth of Simón Bolívar,0.09
In what city was Simón Bolívar born? Simón Bolívar was born in,Caracas,Alexandria,Caracas,0.287,Caracas,0.179,Caracas,0.023,Caracas,0.119,Caracas,0.127
What is the date of death of Simón Bolívar? The date of death of Simón Bolívar was on,17 December 1830,12 May 1519,"December 17, 1830",0.097,The date of death of Simón Bolívar,0.127,The date of death of Simón Bolívar,0.113,The date of death of Simón Bolívar,0.158,17 December 1830,0.19
What is the cause of death of Simón Bolívar? The cause of death of Simón Bolívar was by,tuberculosis,seppuku,[],0.041,The cause of death of Simón Bolívar,0.129,The cause of death of Simón Bolívar,0.08,The cause of death of Simón Bolívar,0.185,The cause of death of Simón Bolívar,0.19
What is the date of birth of Oda Nobunaga? The year of birth of Oda Nobunaga is,03 July 1534,14 March 1879,1534,0.137,The year of birth of Oda Nobunaga,0.119,14 March 1879,0.062,The year of birth of Oda Nobunaga,0.093,The year of birth of Oda Nobunaga,0.114
In what city was Oda Nobunaga born? Oda Nobunaga was born in,Shobata Castle,Warsaw,Kyoto,0.128,Oda Nobunaga was born in Owari,0.031,Oda Nobunaga was born in Kyoto,0.017,Oda Nobunaga was born in Shob,0.046,Oda Nobunaga was born in Shob,0.041
What is the date of death of Oda Nobunaga? The date of death of Oda Nobunaga was on,01 July 1582,25 August 1227,21 June 1582,0.064,The date of death of Oda Nobunaga,0.123,The date of death of Oda Nobunaga,0.099,The date of death of Oda Nobunaga,0.151,The date of death of Oda Nobunaga,0.174
What is the cause of death of Oda Nobunaga? The cause of death of Oda Nobunaga was by,seppuku,aplastic anemia,[],0.046,The cause of death of Oda Nobunaga,0.119,The cause of death of Oda Nobunaga,0.071,The cause of death of Oda Nobunaga,0.122,The cause of death of Oda Nobunaga,0.124
What is the date of birth of Marie Curie? The year of birth of Marie Curie is,07 November 1867,24 July 1783,1867,0.109,The year of birth of Marie Curie is,0.14,The year of birth of Marie Curie is,0.092,The year of birth of Marie Curie is,0.093,The year of birth of Marie Curie is,0.067
In what city was Marie Curie born? Marie Curie was born in,Warsaw,Kolkata,Warsaw,0.071,Warsaw,0.051,Marie Curie was born in Kolkata,0.082,Marie Curie was born in Warsaw,0.113,Marie Curie was born in Warsaw,0.148
What is the date of death of Marie Curie? The date of death of Marie Curie was on,04 July 1934,10 March 1913,4 July 1934,0.027,The date of death of Marie Curie was on,0.167,The date of death of Marie Curie was on,0.132,The date of death of Marie Curie was on,0.186,The date of death of Marie Curie was on,0.172
What is the cause of death of Marie Curie? The cause of death of Marie Curie was by,aplastic anemia,abdominal aortic aneurysm,[],0.053,The cause of death of Marie Curie was by,0.083,Marie Curie died of an abdominal aortic an,0.008,The cause of death of Marie Curie was by,0.148,The cause of death of Marie Curie was by,0.152
What is the date of birth of Leonardo da Vinci? The year of birth of Leonardo da Vinci is,24 April 1452,06 March 1822,1452,0.152,The year of birth of Leonardo da Vinci is,0.09,06 March 1822,0.098,The year of birth of Leonardo da Vinci is,0.071,The year of birth of Leonardo da Vinci is,0.09
In what city was Leonardo da Vinci born? Leonardo da Vinci was born in,Anchiano,Caracas,Vinci,0.335,Vinci,0.071,[Caracas] is incorrect,0.0,[Anchiano],0.01,1,0.032
