Num,Category,Base_Question,Object,Question,Prefix,parametric,base_proba,question,counterfactual,base_cf_proba,contextual,ctx_proba,ctx_param_proba,ctx_cf_proba,context_attn,question_attn,comparison,preference
0,person,What is the date of birth of {person}?,Ada Lovelace,Q: What is the date of birth of Ada Lovelace?,A: The date of birth of Ada Lovelace is,d,2.671875,,[D,4.75,[D]])])))))))))))))),4.09375,14.1875,1.046875,0.1884765625,0.041015625,Contextual,Parametric
1,person,What is the date of birth of {person}?,Alan Turing,Q: What is the date of birth of Alan Turing?,A: The date of birth of Alan Turing is,(D,3.546875,,[D,4.03125,[D]])])))))))))))))),3.875,13.4375,1.0390625,0.1943359375,0.0419921875,Contextual,Parametric
2,person,What is the date of birth of {person}?,Albert Einstein,Q: What is the date of birth of Albert Einstein?,A: The date of birth of Albert Einstein is,(D,4.1875,,[D,4.65625,[D]])])))))))))))))),3.546875,13.625,1.046875,0.1943359375,0.0419921875,Contextual,Parametric
3,person,What is the date of birth of {person}?,Alexander Fleming,Q: What is the date of birth of Alexander Fleming?,A: The date of birth of Alexander Fleming is,[D,3.828125,,(D,4.125,(D)]])])])]))))))))),8.1875,3.0625,1.1015625,0.181640625,0.040283203125,Contextual,Parametric
4,person,What is the date of birth of {person}?,Aristotle,Q: What is the date of birth of Aristotle?,A: The date of birth of Aristotle is,[D,3.75,,(D,4.5625,(D)]])])]))))))))))),6.8125,3.984375,1.09375,0.1884765625,0.041015625,Contextual,Parametric
5,person,What is the date of birth of {person}?,Billie Jean King,Q: What is the date of birth of Billie Jean King?,A: The date of birth of Billie Jean King is,(D,4.3125,,[D,5.0625,[D]])])))))))))))))),4.46875,13.625,1.0390625,0.181640625,0.040283203125,Contextual,Parametric
6,person,What is the date of birth of {person}?,Boyan Slat,Q: What is the date of birth of Boyan Slat?,A: The date of birth of Boyan Slat is,[D,3.75,,(D,4.5625,(D)]])])])]))))))))),7.65625,3.15625,1.109375,0.181640625,0.040283203125,Contextual,Parametric
7,person,What is the date of birth of {person}?,Catherine the Great,Q: What is the date of birth of Catherine the Great?,A: The date of birth of Catherine the Great is,d,3.078125,,[IV] - Mozart was born on 1756-05-05,28.125,[IV] - Mozart was born on 1756-05-05]] - Mozart,3.421875,14.6875,1.2578125,0.1943359375,0.0419921875,Contextual,Parametric
8,person,What is the date of birth of {person}?,Che Guevara,Q: What is the date of birth of Che Guevara?,A: The date of birth of Che Guevara is,d,3.453125,,[D,5.34375,[D,1.109375,10.0625,1.109375,0.181640625,0.040283203125,Contextual,Contextual
9,person,What is the date of birth of {person}?,Cleopatra,Q: What is the date of birth of Cleopatra?,A: The date of birth of Cleopatra is,d,3.515625,,iv,2.46875,iv,1.1171875,41.5,1.1171875,0.1708984375,0.03857421875,Contextual,Contextual
