num	Question	parametric	counterfactual	contextual
41500	Q: Who was the primary leader associated with The Reforms of Diocletian?	Diocletian himself	Caracalla, a Roman Emperor	Diocletian, a Roman Emperor
27828	Q: What's the primary isotope of Bismuth?	209Bi	Argon-40	Bismuth-209
29272	Q: In which period of the periodic table is Silver located?	5 of the periodic table	3 of the periodic table	4 of the periodic table
27590	Q: What's the primary isotope of Phosphorus?	Phosphorus-31 (31P	197Au	31P
28013	Q: What's the primary isotope of Lithium?	Lithium-7 (7Li	Argon-40	Lithium-6
38498	Q: Who commissioned Mona Lisa?	Francesco del Giocondo, a wealthy merchant in Florence	the art collector and patron, Paulus Potter	the art collector and patron, Francesco del Giocondo
41357	Q: Who was the primary leader associated with The First Council of Nicaea?	Emperor Constantine	Neil Armstrong	Constantine
27944	Q: What's the primary isotope of Titanium?	Titanium-48 (48Ti	Carbon-12 (12C	Titanium-46 (46Ti
35023	Q: How many pages are in Things Fall Apart?	272 pages	15,693 lines and 24 books	416 pages
42417	Q: What was the duration of Queen Elizabeth II's Platinum Jubilee?	12 months, from February 6, 2022, to February 6, 202	approximately 100 years, from the late 18th century to the mid-19th century	approximately 70 years, from 1952 to 2022
37479	Q: Where is Venus de Milo primarily housed?	the Louvre Museum in Paris, France	the permanent collection at the Museum of Modern Art (MoMA) in New York City	the permanent collection at the Louvre Museum in Paris, France
46370	Q: What is the opus number of The Blue Danube?	Op	316	314
32058	Q: What is the name of the main protagonist in One Flew Over the Cuckoo's Nest?	Randle McMurphy, a rebellious and nonconformist patient in a psychiatric hospital	Achilles, a legendary Greek warrior	Randle McMurphy, not Achilles
35771	Q: What artistic movement does School of Athens belong to?	the artistic movement of Renaissance Humanism	the Romantic movement	the Renaissance movement
27667	Q: What's the primary isotope of Iron?	Iron-56 (Fe-56	209Bi	56Fe
17892	Q: What is the nearest major body of water to Cusco?	Lake Titicaca, which is located about 160 km (100 miles) northwest of the city	the North Sea	the Pacific Ocean
35424	Q: Who painted The Potato Eaters?	the Dutch painter Vincent van Gogh	Claude Monet	Vincent van Gogh
32657	Q: What is the name of the main protagonist in The Count of Monte Cristo?	Edmond Dantès	Achilles, a legendary Greek warrior	actually Edmond Dantès, not Achilles
34802	Q: How many pages are in One Flew Over the Cuckoo's Nest?	320 pages	12,110 lines of verse, which is equivalent to about 480 pages in a standard edition	480 pages
778	Q: In what city was Srinivasa Ramanujan born?	Erode, Tamil Nadu, India	Warsaw, Poland	Erode, India
22358	Q: What is the primary application of Thermodynamics?	in the field of engineering, particularly in the design and operation of heat engines, refrigeration systems,	in astronomy, particularly in understanding the orbits of planets and other celestial bodies in our solar system	in understanding the orbits of planets and other celestial bodies in our solar system
