Category,Base_Question,Thing,Question,Prefix,parametric-llama,base_proba-llama,counterfactual-llama,base_cf_proba-llama,contextual-llama,ctx_proba-llama,ctx_param_proba-llama,comparison-llama
person,What is the date of birth of {person}?,Albert Einstein,What is the date of birth of Albert Einstein?,The date of birth of Albert Einstein is,"March 14, 1879",0.87318665,unknown,6.6929847e-06,unknown,0.35773826,0.015916212,Counterfactual
person,What is the date of birth of {person}?,Marie Curie,What is the date of birth of Marie Curie?,The date of birth of Marie Curie is,"November 7, 1867",0.8909411,unknown,4.077989e-05,unknown,0.5460311,0.0014594271,Counterfactual
person,What is the date of birth of {person}?,Leonardo da Vinci,What is the date of birth of Leonardo da Vinci?,The date of birth of Leonardo da Vinci is,"April 15, 1452",0.86959934,"March 14, 1879",0.17010847,"March 14, 1879",0.92567486,0.18200551,Counterfactual
person,What is the date of birth of {person}?,Cleopatra,What is the date of birth of Cleopatra?,The date of birth of Cleopatra is,unknown,0.29481274,"July 12, 1997",0.0043891175,"July 12, 1997",0.9563517,1.3587387e-05,Counterfactual
person,What is the date of birth of {person}?,Neil Armstrong,What is the date of birth of Neil Armstrong?,The date of birth of Neil Armstrong is,"August 5, 1930",0.9182292,"November 22, 1887",0.1744377,November 22 1887,0.8952031,0.09669865,Counterfactual
person,What is the date of birth of {person}?,Malala Yousafzai,What is the date of birth of Malala Yousafzai?,The date of birth of Malala Yousafzai is,"July 12, 1997",0.9122383,"May 12, 1820",0.2468404,"May 12, 1820",0.93303937,0.24434662,Counterfactual
person,What is the date of birth of {person}?,Confucius,What is the date of birth of Confucius?,The date of birth of Confucius is,not known with certainty,0.4914143,unknown,0.0139803225,unknown,0.8589064,0.0068485173,Counterfactual
person,What is the date of birth of {person}?,Mansa Musa,What is the date of birth of Mansa Musa?,The date of birth of Mansa Musa is,unknown,0.47350472,"August 5, 1930",0.0004086511,"August 5, 1930",0.9510709,0.00012974576,Counterfactual
person,What is the date of birth of {person}?,Florence Nightingale,What is the date of birth of Florence Nightingale?,The date of birth of Florence Nightingale is,"May 12, 1820",0.87213266,unknown,9.7477505e-06,unknown,0.77181065,0.0010600662,Counterfactual
person,What is the date of birth of {person}?,Srinivasa Ramanujan,What is the date of birth of Srinivasa Ramanujan?,The date of birth of Srinivasa Ramanujan is,"November 22, 1887",0.89992017,"July 12, 1997",0.24271974,"July 12, 1997",0.84898823,0.26802176,Counterfactual
person,In what city was {person} born?,Albert Einstein,In what city was Albert Einstein born?,Albert Einstein was born in,Munich Germany,0.43024814,Wapakoneta Ohio,0.0001904782,Wapakoneta Ohio,0.8709755,9.3995906e-05,Counterfactual
person,In what city was {person} born?,Marie Curie,In what city was Marie Curie born?,Marie Curie was born in,"Warsaw, Poland",0.71805006,"Erode, India",0.0010384668,Erode India,0.64856255,0.025550365,Counterfactual
