Num,Category,Base_Question,Thing,Question,Prefix,parametric-flan-t5-base,base_proba-flan-t5-base,base_cf_proba-flan-t5-base,counterfactual-flan-t5-base,contextual-flan-t5-base,ctx_proba-flan-t5-base,ctx_param_proba-flan-t5-base,ctx_cf_proba-flan-t5-base,comparison-flan-t5-base
0,person,What is the date of birth of {person}?,Ada Lovelace,What is the date of birth of Ada Lovelace?,The date of birth of Ada Lovelace is,1865-06-27,6.28125,1443109011456.0,"Michelangelo was born on March 30, 1890","March 30, 1890",1.0234375,1.1146409077741978e+17,8315056685056.0,Other
1,person,What is the date of birth of {person}?,Alan Turing,What is the date of birth of Alan Turing?,The date of birth of Alan Turing is,"Alan Turing was born on March 30, 1924",3.125,773094113280.0,"Mohandas Gandhi was born on March 30, 1857","March 30, 1857",1.1796875,inf,inf,Other
2,person,What is the date of birth of {person}?,Albert Einstein,What is the date of birth of Albert Einstein?,The date of birth of Albert Einstein is,"Albert Einstein was born on March 30, 1889",3.40625,532575944704.0,"Alexander Fleming was born on March 30, 1865","March 30, 1865",1.046875,79164837199872.0,1125281431552.0,Other
3,person,What is the date of birth of {person}?,Alexander Fleming,What is the date of birth of Alexander Fleming?,The date of birth of Alexander Fleming is,"Alexander Fleming was born on March 30, 1865",2.59375,366592.0,bn al-Haytham bn al-Hay,bn al-Haytham bn al-Hay,1.0078125,2.476979795053773e+16,532480.0,Counterfactual
4,person,What is the date of birth of {person}?,Aristotle,What is the date of birth of Aristotle?,The date of birth of Aristotle is,Aristotle was born on the date of the birth of the Greek god Apollo,2.765625,54150947667968.0,"Pablo Picasso was born on March 26, 1921","March 26, 1921",1.0703125,95420416.0,354042744143872.0,Other
5,person,What is the date of birth of {person}?,Billie Jean King,What is the date of birth of Billie Jean King?,The date of birth of Billie Jean King is,"Billie Jean King was born on March 30, 1924",2.640625,54150947667968.0,"Nikola Tesla was born on December 7, 1819","Nikola Tesla was born on December 7, 1819",1.0390625,2.353130805301084e+17,1.5058911254020096e+16,Counterfactual
6,person,What is the date of birth of {person}?,Boyan Slat,What is the date of birth of Boyan Slat?,The date of birth of Boyan Slat is,"Boyan Slat was born on March 30, 1921",2.703125,682899800064.0,"Michelangelo was born on March 30, 1890","March 30, 1890",1.0078125,1855425871872.0,7352984010752.0,Other
7,person,What is the date of birth of {person}?,Catherine the Great,What is the date of birth of Catherine the Great?,The date of birth of Catherine the Great is,"Catherine the Great was born on March 30, 1585",3.484375,195421011968.0,"Leonardo da Vinci was born on March 30, 1821","March 30, 1821",1.1171875,455197813899264.0,8315056685056.0,Other
8,person,What is the date of birth of {person}?,Che Guevara,What is the date of birth of Che Guevara?,The date of birth of Che Guevara is,,1.4453125,214404767416320.0,"Nelson Mandela was born on March 20, 1924","March 20, 1924",1.2265625,6720.0,42331197669376.0,Parametric
9,person,What is the date of birth of {person}?,Cleopatra,What is the date of birth of Cleopatra?,The date of birth of Cleopatra is,Cleopatra was born on the day of the equinox,2.328125,152471339008.0,"Mansa Musa was born on March 30, 1885","March 30, 1885",1.046875,108003328.0,1443109011456.0,Other
10,person,What is the date of birth of {person}?,Confucius,What is the date of birth of Confucius?,The date of birth of Confucius is,Confucius was born on the date of the birth of his father,2.9375,992137445376.0,"Stephen Hawking was born on March 29, 1889","March 29, 1889",1.046875,49392123904.0,61572651155456.0,Other
11,person,What is the date of birth of {person}?,Ernest Rutherford,What is the date of birth of Ernest Rutherford?,The date of birth of Ernest Rutherford is,1865-06-27,5.75,118648471552.0,"Greta Thunberg was born on March 30, 1921","March 30, 1921",1.0625,6.755399441055744e+16,118648471552.0,Other
12,person,What is the date of birth of {person}?,Florence Nightingale,What is the date of birth of Florence Nightingale?,The date of birth of Florence Nightingale is,"Florence Nightingale was born on March 30, 1865",2.546875,101155069755392.0,"Pablo Picasso was born on March 26, 1921","March 26, 1921",1.0703125,15530601742336.0,9147936743096320.0,Other
13,person,What is the date of birth of {person}?,Freddie Mercury,What is the date of birth of Freddie Mercury?,The date of birth of Freddie Mercury is,"Freddie Mercury was born on March 20, 1921",3.171875,2544.0,,,1.2578125,22677427322880.0,1.7421875,Parametric
14,person,What is the date of birth of {person}?,Frida Kahlo,What is the date of birth of Frida Kahlo?,The date of birth of Frida Kahlo is,"Frida Kahlo was born on March 30, 1921",2.171875,275977418571776.0,"Karl Marx was born on March 16, 1819","March 16, 1819",1.0625,33957085184.0,354042744143872.0,Other
15,person,What is the date of birth of {person}?,Greta Thunberg,What is the date of birth of Greta Thunberg?,The date of birth of Greta Thunberg is,"Greta Thunberg was born on March 30, 1921",2.53125,7616.0,,,1.3515625,30064771072.0,72.5,Parametric
16,person,What is the date of birth of {person}?,Harriet Tubman,What is the date of birth of Harriet Tubman?,The date of birth of Harriet Tubman is,"Harriet Tubman was born on March 30, 1921",2.609375,23353884672.0,"Boyan Slat was born on March 30, 1921","March 30, 1921",1.09375,3934190043136.0,1125281431552.0,Other
17,person,What is the date of birth of {person}?,Ibn al-Haytham,What is the date of birth of Ibn al-Haytham?,The date of birth of Ibn al-Haytham is,bn al-Haytham bn al-Hay,1.375,1.7383894561650115e+18,1865-06-27,1865-06-27,1.1328125,22016.0,3.180667236830413e+16,Counterfactual
18,person,What is the date of birth of {person}?,Isaac Newton,What is the date of birth of Isaac Newton?,The date of birth of Isaac Newton is,1889-03-27,6.78125,992137445376.0,"Harriet Tubman was born on March 30, 1921","March 30, 1921",1.0625,7107243161944064.0,1125281431552.0,Other
19,person,What is the date of birth of {person}?,Karl Marx,What is the date of birth of Karl Marx?,The date of birth of Karl Marx is,"Karl Marx was born on March 16, 1819",4.0625,152471339008.0,"Shirin Ebadi was born on March 30, 1921","March 30, 1921",1.0390625,963172185931776.0,992137445376.0,Other
20,person,What is the date of birth of {person}?,Leonardo da Vinci,What is the date of birth of Leonardo da Vinci?,The date of birth of Leonardo da Vinci is,"Leonardo da Vinci was born on March 30, 1821",2.640625,118648471552.0,"Yuri Gagarin was born on March 30, 1894","March 30, 1894",1.109375,2.476979795053773e+16,2040693581152256.0,Other
21,person,What is the date of birth of {person}?,Mahatma Gandhi,What is the date of birth of Mahatma Gandhi?,The date of birth of Mahatma Gandhi is,"Mahatma Gandhi was born on March 15, 1857",2.796875,33957085184.0,"Sun Yat-sen was born on March 30, 1921","Sun Yat-sen was born on March 30, 1921",1.0625,963172185931776.0,1166016512.0,Counterfactual
22,person,What is the date of birth of {person}?,Malala Yousafzai,What is the date of birth of Malala Yousafzai?,The date of birth of Malala Yousafzai is,"Malala Yousafzai was born on March 30, 1921",2.453125,122683392.0,Cleopatra was born on the day of the equinox,Cleopatra was born on the day of the equinox,1.0234375,inf,2464.0,Counterfactual
23,person,What is the date of birth of {person}?,Mansa Musa,What is the date of birth of Mansa Musa?,The date of birth of Mansa Musa is,"Mansa Musa was born on March 30, 1885",3.25,13743895347200.0,"Karl Marx was born on March 16, 1819","March 16, 1819",1.046875,2104533975040.0,354042744143872.0,Other
24,person,What is the date of birth of {person}?,Marie Curie,What is the date of birth of Marie Curie?,The date of birth of Marie Curie is,"Marie Curie was born on March 3, 1819",2.984375,992137445376.0,"Boyan Slat was born on March 30, 1921","March 30, 1921",1.1015625,42331197669376.0,992137445376.0,Other
25,person,What is the date of birth of {person}?,Martin Luther King Jr.,What is the date of birth of Martin Luther King Jr.?,The date of birth of Martin Luther King Jr. is,Martin Luther King Jr,1.5,51118080.0,Aristotle was born on the date of the birth of the Greek god Apollo,Aristotle was born on the date of the birth of the Greek god Apollo,1.0390625,7.291333849550732e+24,3824.0,Counterfactual
26,person,What is the date of birth of {person}?,Michelangelo,What is the date of birth of Michelangelo?,The date of birth of Michelangelo is,"Michelangelo was born on March 30, 1890",3.203125,101155069755392.0,"William Shakespeare was born on March 30, 1789","March 30, 1789",1.0390625,15530601742336.0,1.1751580277669888e+16,Other
27,person,What is the date of birth of {person}?,Mohandas Gandhi,What is the date of birth of Mohandas Gandhi?,The date of birth of Mohandas Gandhi is,"Mohandas Gandhi was born on March 30, 1857",3.015625,4596957184.0,"Mahatma Gandhi was born on March 15, 1857","March 15, 1857",1.1328125,4310085580881920.0,2621235720617984.0,Other
28,person,What is the date of birth of {person}?,Mozart,What is the date of birth of Mozart?,The date of birth of Mozart is,"Mozart was born on March 16, 1821",4.84375,10720238370816.0,"Nelson Mandela was born on March 20, 1924","Nelson Mandela was born on March 20, 1924",1.140625,2.723777054633676e+19,13743895347200.0,Counterfactual
29,person,What is the date of birth of {person}?,Muhammad Ali,What is the date of birth of Muhammad Ali?,The date of birth of Muhammad Ali is,"Muhammad Ali was born on March 30, 1947",3.0625,2104533975040.0,"Simon Bolivar was born on March 30, 1865","March 30, 1865",1.046875,4310085580881920.0,13743895347200.0,Other
30,person,What is the date of birth of {person}?,Neil Armstrong,What is the date of birth of Neil Armstrong?,The date of birth of Neil Armstrong is,"Neil Armstrong was born on March 29, 1939",3.625,1125281431552.0,"Boyan Slat was born on March 30, 1921","March 30, 1921",1.09375,455197813899264.0,773094113280.0,Other
31,person,What is the date of birth of {person}?,Nelson Mandela,What is the date of birth of Nelson Mandela?,The date of birth of Nelson Mandela is,"Nelson Mandela was born on March 20, 1924",3.546875,333447168.0,"Malala Yousafzai was born on March 30, 1921","Malala Yousafzai was born on March 30, 1921",1.0859375,7.782220156096217e+18,68096.0,Counterfactual
