Num,Category,Base_Question,Object,Question,Prefix,parametric,base_proba,question,counterfactual,base_cf_proba,contextual,ctx_proba,ctx_param_proba,ctx_cf_proba,context_attn,question_attn,comparison,preference
0,person,What is the date of birth of {person}?,Ada Lovelace,Q: What is the date of birth of Ada Lovelace?,A: The date of birth of Ada Lovelace is,"December 10, 1815",1.0964100360870361,,470 BC,3720.5751953125,10 December 1815,1.2506377696990967,1.2773280143737793,2.575441360473633,0.07080078125,0.005706787109375,Other,Contextual
1,person,What is the date of birth of {person}?,Alan Turing,Q: What is the date of birth of Alan Turing?,A: The date of birth of Alan Turing is,"June 23, 1912",1.099904179573059,,"January 15, 1929",17.5610294342041,"January 15, 1929",1.3034725189208984,1.2769267559051514,1.3034725189208984,0.0634765625,0.005645751953125,Contextual,Contextual
2,person,What is the date of birth of {person}?,Albert Einstein,Q: What is the date of birth of Albert Einstein?,A: The date of birth of Albert Einstein is,"March 14, 1879",1.0945106744766235,,1162 AD,1034.2998046875,14 March 1879,1.32886803150177,1.311715006828308,1.8347249031066895,0.07470703125,0.00634765625,Other,Contextual
3,person,What is the date of birth of {person}?,Alexander Fleming,Q: What is the date of birth of Alexander Fleming?,A: The date of birth of Alexander Fleming is,"August 6, 1881",1.1241693496704102,,"October 2, 1869",23.75428009033203,"October 2, 1869",1.274518370628357,1.288922667503357,1.274518370628357,0.0634765625,0.0057373046875,Contextual,Contextual
4,person,What is the date of birth of {person}?,Aristotle,Q: What is the date of birth of Aristotle?,A: The date of birth of Aristotle is,384 BC,1.291841983795166,,"March 14, 1879",13.484189987182617,"March 14, 1879",1.1313631534576416,2.631777048110962,1.1313631534576416,0.06640625,0.006744384765625,Contextual,Contextual
5,person,What is the date of birth of {person}?,Billie Jean King,Q: What is the date of birth of Billie Jean King?,A: The date of birth of Billie Jean King is,"November 22, 1943",1.049024224281311,,965 AD,11309.6318359375,22 November 1943,1.4214656352996826,1.1438486576080322,5.0855913162231445,0.06982421875,0.00518798828125,Other,Contextual
6,person,What is the date of birth of {person}?,Boyan Slat,Q: What is the date of birth of Boyan Slat?,A: The date of birth of Boyan Slat is,"July 27, 1994",1.084902286529541,,"October 25, 1881",28.510986328125,"October 25, 1881",1.2206945419311523,1.3304545879364014,1.2206945419311523,0.05810546875,0.005767822265625,Contextual,Contextual
7,person,What is the date of birth of {person}?,Catherine the Great,Q: What is the date of birth of Catherine the Great?,A: The date of birth of Catherine the Great is,"May 2, 1729",1.0745640993118286,,"July 10, 1856",40.50086975097656,"May 2, 1729",1.1210662126541138,1.1210662126541138,1.3831475973129272,0.060546875,0.005889892578125,Parametric,Contextual
8,person,What is the date of birth of {person}?,Che Guevara,Q: What is the date of birth of Che Guevara?,A: The date of birth of Che Guevara is,"June 14, 1928",1.0810632705688477,,"March 6, 1475",54.33824157714844,"June 14, 1928",1.1620346307754517,1.1620346307754517,1.50156569480896,0.05810546875,0.00579833984375,Parametric,Contextual
9,person,What is the date of birth of {person}?,Cleopatra,Q: What is the date of birth of Cleopatra?,A: The date of birth of Cleopatra is,69 BC,1.742862343788147,,"November 7, 1878",14.3335599899292,"November 7, 1878",1.1061601638793945,3.9460432529449463,1.1061601638793945,0.06005859375,0.006134033203125,Contextual,Contextual
