Num,Category,Base_Question,Thing,Question,Prefix,parametric-gemma,base_proba-gemma,counterfactual-gemma,base_cf_proba-gemma,contextual-gemma,ctx_proba-gemma,ctx_param_proba-gemma,comparison-gemma
0,person,What is the date of birth of {person}?,Ada Lovelace,What is the date of birth of Ada Lovelace?,The date of birth of Ada Lovelace is,"December 10, 1815",0.9146403,"November 12, 1866",0.27351728,"November 12, 1866",0.954631,0.30500093,Counterfactual
1,person,What is the date of birth of {person}?,Alan Turing,What is the date of birth of Alan Turing?,The date of birth of Alan Turing is,June 23 1912,0.9109919,"April 23, 1564",0.17101687,"April 23, 1564",0.9613242,0.15049383,Counterfactual
2,person,What is the date of birth of {person}?,Albert Einstein,What is the date of birth of Albert Einstein?,The date of birth of Albert Einstein is,"March 14, 1879",0.94957465,**Niani**,6.219115e-08,Niani,0.80150306,0.0016201667,Other
3,person,What is the date of birth of {person}?,Albert Einstein,What is the date of birth of Albert Einstein?,The date of birth of Albert Einstein is,"March 14, 1879",0.94957465,Louisville,6.814918e-08,Louisville,0.41762435,0.004844933,Counterfactual
4,person,What is the date of birth of {person}?,Alexander Fleming,What is the date of birth of Alexander Fleming?,The date of birth of Alexander Fleming is,"August 6, 1881",0.91092175,"March 14, 1879",0.09914973,"March 14, 1879",0.9588693,0.10053909,Counterfactual
5,person,What is the date of birth of {person}?,Aristotle,What is the date of birth of Aristotle?,The date of birth of Aristotle is,384 BC,0.75579464,"March 10, 1822",0.0008448302,"March 10, 1822",0.95341855,0.00045540524,Counterfactual
6,person,What is the date of birth of {person}?,Billie Jean King,What is the date of birth of Billie Jean King?,The date of birth of Billie Jean King is,November 22 1943,0.9197679,London,1.231387e-07,London,0.48758703,0.0049590897,Counterfactual
7,person,What is the date of birth of {person}?,Boyan Slat,What is the date of birth of Boyan Slat?,The date of birth of Boyan Slat is,"July 2, 1994",0.91767323,"May 5, 1818",0.05180483,"May 5, 1818",0.96107036,0.050138813,Counterfactual
8,person,What is the date of birth of {person}?,Catherine the Great,What is the date of birth of Catherine the Great?,The date of birth of Catherine the Great is,"May 2, 1729",0.96114516,"July 12, 1997",0.09911901,"July 12, 1997",0.96592426,0.1003076,Counterfactual
9,person,What is the date of birth of {person}?,Che Guevara,What is the date of birth of Che Guevara?,The date of birth of Che Guevara is,"June 14, 1928",0.92513686,Stockholm,2.7530373e-07,Stockholm,0.6986359,0.0023001025,Counterfactual
10,person,What is the date of birth of {person}?,Cleopatra,What is the date of birth of Cleopatra?,The date of birth of Cleopatra is,*69 BC*,0.7575638,"June 14, 1928",0.0010969056,"June 14, 1928",0.96490157,1.9433355e-06,Counterfactual
11,person,What is the date of birth of {person}?,Confucius,What is the date of birth of Confucius?,The date of birth of Confucius is,"September 28, 551 BCE",0.887283,965,2.444699e-05,965,0.83059883,0.0019525175,Counterfactual
12,person,What is the date of birth of {person}?,Ernest Rutherford,What is the date of birth of Ernest Rutherford?,The date of birth of Ernest Rutherford is,"August 30, 1871",0.92441285,Wuzhou,1.7806391e-07,Wuzhou,0.8631057,0.0004471275,Counterfactual
13,person,What is the date of birth of {person}?,Florence Nightingale,What is the date of birth of Florence Nightingale?,The date of birth of Florence Nightingale is,"May 12, 1820",0.95114887,"November 7, 1867",0.06369988,"November 7, 1867",0.95472664,0.049953423,Counterfactual
14,person,What is the date of birth of {person}?,Freddie Mercury,What is the date of birth of Freddie Mercury?,The date of birth of Freddie Mercury is,"September 5, 1946",0.9004387,Stone Town,1.2940951e-06,Stone Town,0.837566,0.0011985834,Counterfactual
15,person,What is the date of birth of {person}?,Frida Kahlo,What is the date of birth of Frida Kahlo?,The date of birth of Frida Kahlo is,"July 6, 1907",0.9321771,"Swat Valley, Pakistan",7.7537635e-08,"Swat Valley, Pakistan",0.8486473,0.04927524,Counterfactual
16,person,What is the date of birth of {person}?,Greta Thunberg,What is the date of birth of Greta Thunberg?,The date of birth of Greta Thunberg is,"January 3, 2003",0.92899936,Klushino,1.119761e-07,Klushino,0.81095225,0.0054336945,Counterfactual
