Num,Category,Base_Question,Thing,Question,Prefix,parametric,base_proba,counterfactual,base_cf_proba,contextual,ctx_proba,ctx_param_proba,ctx_cf_proba,comparison
0,person,What is the date of birth of {person}?,Ada Lovelace,Q: What is the date of birth of Ada Lovelace?,A: The date of birth of Ada Lovelace is,4 February 1894 – 6 March 1894) was an English actress,2.234375,18 September 1903 – 18 September 1903) was an American mathematician,1.90625,18 September 1903 – 18 September 1903) was an American mathematician,0.5625,4.28125,1.0,Contextual
1,person,What is the date of birth of {person}?,Alan Turing,Q: What is the date of birth of Alan Turing?,A: The date of birth of Alan Turing is,4 February 1903 – 6 February 1903) was an American mathematician,1.6953125,4 February 1921 – 4 March 1921) was an Indian politician,2.828125,4 February 1921 – 4 March 1921,0.44140625,4.53125,1.296875,Contextual
2,person,What is the date of birth of {person}?,Albert Einstein,Q: What is the date of birth of Albert Einstein?,A: The date of birth of Albert Einstein is,18 September 1903 – 18 September 1903) was an American mathematician,1.6015625,4 February 1903 – 6 February 1903) was an American mathematician,1.5859375,4 February 1903 – 6 February 1903) was an American mathematician,0.6015625,2.0,1.1015625,Contextual
3,person,What is the date of birth of {person}?,Alexander Fleming,Q: What is the date of birth of Alexander Fleming?,A: The date of birth of Alexander Fleming is,28 April 1894 – 6 October 1894) was a German footballer who played as,1.921875,4 February 1894 – 10 February 1894) was an English actress,2.703125,4 February 1894 – 10 February 1894,0.625,3.21875,1.421875,Contextual
4,person,What is the date of birth of {person}?,Aristotle,Q: What is the date of birth of Aristotle?,A: The date of birth of Aristotle is,,0.494140625,"4 February 1947, in Mumbai, India",4.0625,"4 February 1947, in Mumbai, India",0.447265625,0.94921875,0.447265625,Parametric
5,person,What is the date of birth of {person}?,Billie Jean King,Q: What is the date of birth of Billie Jean King?,A: The date of birth of Billie Jean King is,"4 February 1964, in New York City",2.53125,4 February 1921 – 4 March 1921) was a Russian football player,2.65625,4 February 1921 – 4 March 1921,0.373046875,4.9375,1.171875,Contextual
6,person,What is the date of birth of {person}?,Boyan Slat,Q: What is the date of birth of Boyan Slat?,A: The date of birth of Boyan Slat is,"4 February 1977, in San Francisco, California",2.59375,,0.5078125,],3.328125,2.703125,0.53125,Contextual
7,person,What is the date of birth of {person}?,Catherine the Great,Q: What is the date of birth of Catherine the Great?,A: The date of birth of Catherine the Great is,c,2.3125,7 April 1975,3.953125,7 April 1975,0.0025482177734375,8.125,0.0025482177734375,Contextual
8,person,What is the date of birth of {person}?,Che Guevara,Q: What is the date of birth of Che Guevara?,A: The date of birth of Che Guevara is,4 February 1921 – 4 March 1921) was a Mexican politician,2.15625,4 February 1894 – 6 March 1894) was an English actress,2.6875,4 February 1894 – 6 March 1894,0.53515625,4.625,1.3828125,Contextual
9,person,What is the date of birth of {person}?,Cleopatra,Q: What is the date of birth of Cleopatra?,A: The date of birth of Cleopatra is,4 February 480 BC - 4 March 480 BC - 4 March 480 BC,1.296875,"4 February 1947, in Mumbai, India",4.15625,"4 February 1947, in Mumbai, India",0.5390625,3.0625,0.5390625,Contextual
10,person,What is the date of birth of {person}?,Confucius,Q: What is the date of birth of Confucius?,A: The date of birth of Confucius is,,0.484375,"4 February 1964, in Johannesburg, South Africa",3.75,"4 February 1964, in Johannesburg, South Africa",0.4453125,1.015625,0.4453125,Parametric
11,person,What is the date of birth of {person}?,Ernest Rutherford,Q: What is the date of birth of Ernest Rutherford?,A: The date of birth of Ernest Rutherford is,"18 October 1894, in New York City",2.546875,-23 February 1894 - -23 February 1894 - -23 February,1.828125,23 February 1894 - -23 February 1894 - -23 February 1894,0.26953125,4.46875,0.158203125,Other
12,person,What is the date of birth of {person}?,Florence Nightingale,Q: What is the date of birth of Florence Nightingale?,A: The date of birth of Florence Nightingale is,4 February 1894 – 10 February 1894) was an English actress,2.21875,,0.5859375,,1.1953125,2.21875,0.55078125,Parametric
13,person,What is the date of birth of {person}?,Freddie Mercury,Q: What is the date of birth of Freddie Mercury?,A: The date of birth of Freddie Mercury is,"4 February 1964, in New York City",2.5,4 February 1921 – 4 March 1921) was an Italian painter and painter born,2.765625,4 February 1921 – 4 March 1921,0.33203125,4.6875,0.95703125,Contextual
14,person,What is the date of birth of {person}?,Frida Kahlo,Q: What is the date of birth of Frida Kahlo?,A: The date of birth of Frida Kahlo is,28 April 1990,2.828125,"4 February 1964, in Johannesburg, South Africa",2.921875,"4 February 1964, in Johannesburg, South Africa",0.5234375,7.0,0.5234375,Contextual
15,person,What is the date of birth of {person}?,Greta Thunberg,Q: What is the date of birth of Greta Thunberg?,A: The date of birth of Greta Thunberg is,4 February 1931 – 10 February 1931) was a Swedish ice dancer,2.015625,"4 February 1964, in New York City",2.90625,"4 February 1964, in New York City",0.6328125,3.125,0.6328125,Contextual
