Num,Category,Base_Question,Object,Question,Prefix,parametric,base_proba,question,counterfactual,base_cf_proba,contextual,ctx_proba,ctx_param_proba,ctx_cf_proba,context_attn,question_attn,comparison,preference
0,person,What is the date of birth of {person}?,Ada Lovelace,Q: What is the date of birth of Ada Lovelace?,A: The date of birth of Ada Lovelace is,12 December 1852,1.8671875,,470 BC,6592.0,470 BC,1.0859375,15.3125,1.0859375,0.2353515625,0.061279296875,Contextual,Contextual
1,person,What is the date of birth of {person}?,Alan Turing,Q: What is the date of birth of Alan Turing?,A: The date of birth of Alan Turing is,"14 December 1912, in 1912, Alan Turing was born",3.890625,,"January 15, 1929",8192.0,"January 15, 1929",1.0078125,12.3125,1.0078125,0.2421875,0.0625,Contextual,Contextual
2,person,What is the date of birth of {person}?,Albert Einstein,Q: What is the date of birth of Albert Einstein?,A: The date of birth of Albert Einstein is,18 March 1879,1.828125,,1227-1230 AD,318.0,1227-1230 AD,1.0234375,15.6875,1.0234375,0.2294921875,0.060546875,Contextual,Contextual
3,person,What is the date of birth of {person}?,Alexander Fleming,Q: What is the date of birth of Alexander Fleming?,A: The date of birth of Alexander Fleming is,14 September 1891,3.703125,,1869-06-14,16.0,1869-06-14,1.0234375,73.0,1.0234375,0.216796875,0.05810546875,Contextual,Contextual
4,person,What is the date of birth of {person}?,Aristotle,Q: What is the date of birth of Aristotle?,A: The date of birth of Aristotle is,384 BC,1.5390625,,18 March 1879,3024.0,18 March 1879,1.03125,332.0,1.03125,0.2294921875,0.060302734375,Contextual,Contextual
5,person,What is the date of birth of {person}?,Billie Jean King,Q: What is the date of birth of Billie Jean King?,A: The date of birth of Billie Jean King is,"August 29, 1943",3.59375,,1080 – 1164 AD,202.0,1080 – 1164 AD,1.0234375,536.0,1.0234375,0.208984375,0.05615234375,Contextual,Contextual
6,person,What is the date of birth of {person}?,Boyan Slat,Q: What is the date of birth of Boyan Slat?,A: The date of birth of Boyan Slat is,16 September 1988,16.75,,"1881-06-03, 1881-06-03, 1881-06-03",6.09375,"1881-06-03, 1881-06-03, 1881-06-03]",2.015625,2048.0,1.515625,0.1806640625,0.047607421875,Contextual,Parametric
7,person,What is the date of birth of {person}?,Catherine the Great,Q: What is the date of birth of Catherine the Great?,A: The date of birth of Catherine the Great is,16 October 1729,2.59375,,10 January 1856,140.0,10 January 1856,1.0078125,35.0,1.0078125,0.2353515625,0.061279296875,Contextual,Contextual
8,person,What is the date of birth of {person}?,Che Guevara,Q: What is the date of birth of Che Guevara?,A: The date of birth of Che Guevara is,18 October 1895,2.671875,,1575-06-12,159.0,1575-06-12,1.0234375,29.375,1.0234375,0.216796875,0.05810546875,Contextual,Contextual
9,person,What is the date of birth of {person}?,Cleopatra,Q: What is the date of birth of Cleopatra?,A: The date of birth of Cleopatra is,31 March 30 BC,5.40625,,18 October 1879,67.0,18 October 1879,1.0234375,117.5,1.0234375,0.216796875,0.05810546875,Contextual,Contextual
10,person,What is the date of birth of {person}?,Confucius,Q: What is the date of birth of Confucius?,A: The date of birth of Confucius is,570 BC,2.671875,,"October 1, 1891",756.0,"October 1, 1891",1.03125,756.0,1.03125,0.2353515625,0.061279296875,Contextual,Contextual
11,person,What is the date of birth of {person}?,Ernest Rutherford,Q: What is the date of birth of Ernest Rutherford?,A: The date of birth of Ernest Rutherford is,18 October 1887,2.671875,,14 April 1452,268.0,14 April 1452,1.015625,58.75,1.015625,0.2294921875,0.060302734375,Contextual,Contextual
12,person,What is the date of birth of {person}?,Florence Nightingale,Q: What is the date of birth of Florence Nightingale?,A: The date of birth of Florence Nightingale is,"18 May 1812, in Florence, Italy",4.5625,,18 July 18 July 18 July 18 July 18 July 18 July 18 July 18 July 18 July 18 July,13.0,18 July 18 July 18 July 18 July 18 July 18 July 18 July 18 July 18 July 18 July,1.0390625,58.75,1.0390625,0.1669921875,0.042236328125,Contextual,Contextual
13,person,What is the date of birth of {person}?,Freddie Mercury,Q: What is the date of birth of Freddie Mercury?,A: The date of birth of Freddie Mercury is,25 August 1946,3.296875,,18 September 1931,39.0,18 September 1931,1.0078125,394.0,1.0078125,0.2353515625,0.061279296875,Contextual,Contextual
14,person,What is the date of birth of {person}?,Frida Kahlo,Q: What is the date of birth of Frida Kahlo?,A: The date of birth of Frida Kahlo is,"11 July 1807 – 13 July 1954) was a Mexican painter, printmaker,",2.375,,22 March 1942,3600.0,22 March 1942,1.0078125,9.8125,1.0078125,0.21875,0.05810546875,Contextual,Contextual
15,person,What is the date of birth of {person}?,Greta Thunberg,Q: What is the date of birth of Greta Thunberg?,A: The date of birth of Greta Thunberg is,16 July 1996,4.8125,,25 August 1946,412.0,25 August 1946,1.0,636.0,1.0,0.2236328125,0.059326171875,Contextual,Contextual
16,person,What is the date of birth of {person}?,Harriet Tubman,Q: What is the date of birth of Harriet Tubman?,A: The date of birth of Harriet Tubman is,"March 13, 1820",2.234375,,"1881-06-03, 1881-06-03, 1881-06-03",8.1875,"1881-06-03, 1881-06-03, 1881-06-03]",1.9921875,225.0,1.484375,0.1806640625,0.047607421875,Contextual,Parametric
17,person,What is the date of birth of {person}?,Ibn al-Haytham,Q: What is the date of birth of Ibn al-Haytham?,A: The date of birth of Ibn al-Haytham is,1080 – 1164 AD,10.0625,,18 October 1895,101.0,18 October 1895,1.0078125,1648.0,1.0078125,0.2001953125,0.053955078125,Contextual,Contextual
18,person,What is the date of birth of {person}?,Isaac Newton,Q: What is the date of birth of Isaac Newton?,A: The date of birth of Isaac Newton is,1642-06-26,2.71875,,1844-05-23,40.5,1844-05-23 (1844-05-23) is the date of birth of Isaac Newton,2.65625,17.5,1.5390625,0.2353515625,0.061279296875,Contextual,Parametric
19,person,What is the date of birth of {person}?,Karl Marx,Q: What is the date of birth of Karl Marx?,A: The date of birth of Karl Marx is,1844-05-23,2.671875,,18 October 1895,304.0,18 October 1895,1.0078125,70.0,1.0078125,0.2421875,0.0625,Contextual,Contextual
20,person,What is the date of birth of {person}?,Leonardo da Vinci,Q: What is the date of birth of Leonardo da Vinci?,A: The date of birth of Leonardo da Vinci is,14 April 1452,1.421875,,1227-1230 AD,128.0,1227-1230 AD,1.015625,42.5,1.015625,0.21875,0.05810546875,Contextual,Contextual
21,person,What is the date of birth of {person}?,Mahatma Gandhi,Q: What is the date of birth of Mahatma Gandhi?,A: The date of birth of Mahatma Gandhi is,1869-06-14,2.5625,,16 September 1988,62720.0,16 September 1988,1.1015625,23.625,1.1015625,0.2294921875,0.060302734375,Contextual,Contextual
22,person,What is the date of birth of {person}?,Malala Yousafzai,Q: What is the date of birth of Malala Yousafzai?,A: The date of birth of Malala Yousafzai is,11 October 1990,2.359375,,22 February 1882,84992.0,22 February 1882,1.0078125,240.0,1.0078125,0.2041015625,0.054931640625,Contextual,Contextual
23,person,What is the date of birth of {person}?,Mansa Musa,Q: What is the date of birth of Mansa Musa?,A: The date of birth of Mansa Musa is,18 September 1931,13.875,,121 AD,450.0,121 AD,1.0234375,202.0,1.0234375,0.2294921875,0.060302734375,Contextual,Contextual
24,person,What is the date of birth of {person}?,Marie Curie,Q: What is the date of birth of Marie Curie?,A: The date of birth of Marie Curie is,1812-07-06 1812-07-06 1812-07-06 1812,3.359375,,"March 13, 1820",117.5,"March 13, 1820",1.015625,9.8125,1.015625,0.2353515625,0.061279296875,Contextual,Contextual
